ID,present,WC_alt,WC_bio1,WC_bio4,WC_bio12,ER_minTempWarmest,lon,lat
188,1,2850,1.7000000476837158,79.779998779296875,424,47,-105.699997,39.299999
189,1,551,10.300000190734863,103.4000015258789,690,179,-98.099998,40.5
190,1,2850,1.7000000476837158,79.779998779296875,424,47,-105.699997,39.299999
191,1,2850,1.7000000476837158,79.779998779296875,424,47,-105.699997,39.299999
192,1,704,5,107.2300033569336,329,117,-110.699997,50.099998
193,1,NA,NA,NA,NA,NA,-104.800003,27
194,1,1668,12.399999618530273,80.81999969482422,243,155,-106.883331,34.883331
195,1,1558,14.300000190734863,67.66999816894531,287,164,-104.783333,32.349998
196,1,1607,10.100000381469727,86.66999816894531,209,135,-114.01667,38.950001
197,1,1609,7.699999809265137,87.87000274658203,333,122,-105.683334,42.783333
198,1,NA,NA,NA,NA,NA,-114.51667,50.183334
199,1,831,3.700000047683716,112.77999877929688,335,107,-106.383,49.3667
200,1,NA,NA,NA,NA,NA,-104.925,27.125
201,1,NA,NA,NA,NA,NA,-104.925,27.125
202,1,678,6.300000190734863,112.47000122070312,414,141,-101.72333131288703,46.02287721211402
203,0,209,9.699999809265137,95.94999694824219,990,171,-86.79166666666669,41.70833333333333
204,0,1365,6.400000095367432,96.05000305175781,428,121,-104.625,44.54166666666665
205,0,1615,10.399999618530273,84.58000183105469,353,145,-104.625,38.541666666666664
206,0,1308,15.100000381469727,74.62000274658203,318,173,-108.79166666666667,32.45833333333335
207,0,1304,16.299999237060547,72.160003662109375,289,183,-104.95833333333334,30.958333333333353
208,0,446,5,110.2300033569336,824,133,-89.375,45.04166666666665
209,0,1143,6.199999809265137,87.30999755859375,398,100,-109.70833333333334,47.125
210,0,104,15.600000381469727,81.68000030517578,1328,208,-89.45833333333336,35.375
211,0,997,5.599999904632568,99.160003662109375,285,105,-110.70833333333334,48.54166666666664
212,0,2044,8.600000381469727,71.69000244140625,454,110,-111.95833333333334,35.54166666666667
213,0,1364,17.299999237060547,65.04000091552734,254,167,-106.54166666666667,30.208333333333357
214,0,724,6.5,109.30999755859375,346,130,-105.375,47.54166666666664
215,0,559,11.100000381469727,79.20999908447266,964,154,-80.7916666666667,37.625
216,0,150,12.5,95.51000213623047,965,197,-89.95833333333336,38.875
217,0,1251,15.399999618530273,78.80000305175781,236,181,-106.375,33.291666666666686
218,0,2609,1.5,84.87999725341797,370,57,-108.875,42.70833333333332
219,0,289,16.100000381469727,84.12999725341797,980,212,-96.70833333333334,34.95833333333334
220,0,1708,8.600000381469727,94.410003662109375,230,134,-110.625,39.375
221,0,1159,19.399999618530273,63.68000030517578,331,201,-105.54166666666667,28.45833333333336
222,0,1990,10,81.9800033569336,283,137,-109.875,35.79166666666667
223,0,86,17.799999237060547,69.9800033569336,1404,211,-90.54166666666669,32.125
224,0,1436,9.600000381469727,90.9000015258789,398,144,-102.95833333333334,39.375
225,0,593,3,124.91999816894531,408,122,-103.04166666666667,49.375
226,0,347,13.300000190734863,79.089996337890625,1292,176,-83.875,36.29166666666667
227,0,1783,10.600000381469727,78.660003662109375,396,138,-104.125,36.04166666666667
228,0,2396,4.800000190734863,78.30000305175781,448,74,-112.54166666666667,38.541666666666664
229,0,340,12.199999809265137,97.83000183105469,956,194,-95.20833333333334,39.375
230,0,2134,8.899999618530273,82.18000030517578,311,132,-109.29166666666667,36.29166666666667
231,0,983,19.899999618530273,56.47999954223633,315,198,-101.54166666666669,26.708333333333364
232,0,210,11.199999809265137,97.720001220703125,988,178,-88.79166666666669,39.875
233,0,423,17.299999237060547,83.1500015258789,686,217,-99.20833333333334,33.375
234,0,1241,6.300000190734863,94.4000015258789,419,107,-106.625,45.458333333333314
235,0,173,9.899999618530273,93.839996337890625,873,176,-82.5416666666667,41.54166666666666
236,0,1355,7,99.0199966430664,338,128,-104.79166666666667,43.875
237,0,2343,5.5,88.18000030517578,241,85,-105.70833333333334,37.208333333333336
238,0,1007,15.300000190734863,83.94000244140625,272,188,-113.375,37.208333333333336
239,0,375,4,118.1500015258789,707,130,-93.45833333333336,46.79166666666664
240,0,1623,6.900000095367432,101.95999908447266,213,124,-108.20833333333334,42.95833333333332
241,0,309,12.399999618530273,89.0199966430664,1050,177,-90.95833333333336,38.04166666666667
242,0,1694,6.099999904632568,87.11000061035156,277,104,-108.79166666666667,44.29166666666665
